time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
11.307593652739332,0.0024300000000000007,2.347773925021975,-0.07372617080172258,0.10172651166710193,0.0,170.06968067423622,0.5,-0.1,92.00000000000001,254.00000000000006
11.314883652739331,0.007290000000000002,2.344441771676261,-0.07401349218744954,0.10150291524966278,0.0,170.16821012819764,0.5,-0.1,117.00000000000003,255.00000000000006
11.31489365273933,1.0E-5,2.344441771676261,-0.07401349218744954,0.10150291524966278,0.0,170.16821012819764,0.5,-0.1,117.00000000000003,255.00000000000006
11.314923652739331,3.0000000000000004E-5,2.344441771676261,-0.07401349218744954,0.10150291524966278,0.0,170.16821012819764,0.5,-0.1,117.00000000000003,255.00000000000006
11.315013652739331,9.000000000000002E-5,2.3439615607226103,-0.07405463597913053,0.10147108898325581,0.0,170.18228672567102,0.5,-0.1,117.00000000000003,255.00000000000006
11.315283652739332,2.7000000000000006E-4,2.3439615607226103,-0.07405463597913053,0.10147108898325581,0.0,170.18228672567102,0.5,-0.1,117.00000000000003,255.00000000000006
11.316093652739331,8.100000000000002E-4,2.3434803169695346,-0.07409580415784134,0.10143929178355852,0.0,170.19636356155434,0.5,-0.1,117.00000000000003,255.00000000000006
11.318523652739332,0.0024300000000000007,2.3425147501343067,-0.07417821356585369,0.10137578464689172,0.0,170.22451794600465,0.5,-0.1,117.00000000000003,255.00000000000006
11.325813652739331,0.007290000000000002,2.3391034285383228,-0.07446741061666934,0.10115442756261546,0.0,170.32306570753144,0.5,-0.1,144.00000000000003,254.00000000000006
11.32582365273933,1.0E-5,2.3391034285383228,-0.07446741061666934,0.10115442756261546,0.0,170.32306570753144,0.5,-0.1,144.00000000000003,254.00000000000006
11.325853652739331,3.0000000000000004E-5,2.3391034285383228,-0.07446741061666934,0.10115442756261546,0.0,170.32306570753144,0.5,-0.1,144.00000000000003,254.00000000000006
